,user_id,business_id,stars,name
0,IlWLPCRQp8iqX0X-ExQccQ,bdfZdB2MTXlT6-RBjSIpQg,4.0,Pho Bistro
1,WSMIRegvrsEgFGEraf_LwQ,bdfZdB2MTXlT6-RBjSIpQg,5.0,Pho Bistro
2,2odfcvFhkb8SedI3vCLpmQ,bdfZdB2MTXlT6-RBjSIpQg,5.0,Pho Bistro
3,OEKu0Rts0spELpbnucDKmA,bdfZdB2MTXlT6-RBjSIpQg,5.0,Pho Bistro
4,4MSEWnnxKhNdh7GgNHM-YQ,bdfZdB2MTXlT6-RBjSIpQg,4.0,Pho Bistro
5,gJyqSThsQDT-04VE2gR1TQ,bdfZdB2MTXlT6-RBjSIpQg,4.0,Pho Bistro
6,sR3Na7Z0-9-wuv9cU8TW1w,bdfZdB2MTXlT6-RBjSIpQg,1.0,Pho Bistro
7,GVoSyA04GQTLZb77Bz_kvw,bdfZdB2MTXlT6-RBjSIpQg,1.0,Pho Bistro
8,qb0tcchdlgGBndTMdjMvoA,bdfZdB2MTXlT6-RBjSIpQg,4.0,Pho Bistro
9,8eOQq1bHixOS75rfucPwGw,bdfZdB2MTXlT6-RBjSIpQg,1.0,Pho Bistro
10,GXDoO2doMtx6MT4qahM_lQ,bdfZdB2MTXlT6-RBjSIpQg,3.0,Pho Bistro
11,SFetwganEk8LDm749kxXYQ,bdfZdB2MTXlT6-RBjSIpQg,1.0,Pho Bistro
12,Xfg1N7IaefsTjF4n7WBpAQ,bdfZdB2MTXlT6-RBjSIpQg,3.0,Pho Bistro
13,rm9thuLUABkf6_Aq5HeZhw,bdfZdB2MTXlT6-RBjSIpQg,4.0,Pho Bistro
14,nfLL3vn_4-zXAfoh7hWiZg,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
15,Ht63q-dlkMgnP0iA6nbRPw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
16,jQ1rn_tGaz02gpmmarBJLA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
17,IHptg4D2wTyiM3W8dyBR8w,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
18,74vOzFh22b2HKFuZ_DbtJA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
19,46odtA69-01sinp3oqjGzg,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
20,RLW98dloIcfl57JPK5rMXQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
21,fCbO5AbAlmgQ8GqV6FeZ0A,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
22,SSWlfadBg7fgjBlLGDaCdw,MbzgGsMQpGyVrUJXi_Jw0Q,1.0,Dawn Patrol
23,yz0s55qwi_WqVjmbyZ9ICw,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
24,vWdSmuwYTrjkKjS9G9_QNw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
25,mm-OqAPE2p40JnBF_nde6g,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
26,WL4Y0fvZjAKxKt55oB6YTw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
27,_fGm9K8N_do4buaWz9__lw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
28,utmd795L3wLJsFFsuOoUMA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
29,u9rylZ5ri2vrVacCOaxrjA,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
30,TXDy_ZeRDDRRipHdYvmikA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
31,277hBqThQ_jop4bzSc4AXA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
32,fYAKgnAM3GujP_vtE4vXng,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
33,zfDi4RKBba1GTe9WFSUCaw,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
34,yZcboscieqTvZc0qLYVKSw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
35,gt2aLPrGSYPLv1WCAM8puA,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
36,SLIF8PyktsPYScAQacv27A,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
37,TnU4eH4InXQVvB1IXnlHIQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
38,S2NE4GPg22GIh8LN7t-42w,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
39,E7TJ0x7Ww1dxp5Yq0Xe7zw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
40,TRefzAKuGLdc6Lqy5EqECw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
41,p_Dsn2azrMaiLtpaBqBOPQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
42,HEg9Nkp0Xat52_be4jI82A,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
43,pRH3k0yAY7KU0PRIYTcw6Q,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
44,qyeiufwyY2dWUkXijYcvZQ,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
45,TCjGK6RNh8Db5nb_BKfGbA,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
46,L-C9gH_a_SLMoHpHoK1-Aw,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
47,tDc-JxmUQ1k3O7pnNq6d1g,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
48,nYfYAAvZl0C8WayCGoTsAA,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
49,_Fd9KUkBsVjxqoh5RW9Vzg,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
50,od3NnRwKPrMWXBCSYeDcUQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
51,wQfmK3GjMUTuS8_ki4wKoQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
52,2Au4dpXIHR4THnyGiUD7dw,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
53,C4wDRYJsPLc7AwVWcAswDA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
54,b9lV4rLVk79_TAsEztAjlQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
55,rfG1xQhWDPsHQf8BOOYzDg,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
56,AcHDA-RzJxDW4QcFs_lAqQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
57,9ADaR6R6SZ6n38DeqcA3HA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
58,MjYGIDp6Pb5vnCZb-4_xNg,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
59,jUt_i68SMUqg9oXekRNBAQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
60,t65ZF-QLsVQ8xVjqtB1j1A,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
61,-dHhMLXvHRURuUN7IBBj4Q,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
62,sMhV-R0XXxvTEA1NIqmaDA,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
63,ROnHSq7H2o2rQg3QqB4WCw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
64,O_9ZkPVH2kDWUR_CwYM_CA,MbzgGsMQpGyVrUJXi_Jw0Q,3.0,Dawn Patrol
65,YlQW0Egn9WY7YDT5u3qT7w,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
66,WfpPijDl0BfcFlwbWRM-8Q,MbzgGsMQpGyVrUJXi_Jw0Q,1.0,Dawn Patrol
67,kf130oGKuOBOi0hbrc-zdQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
68,9FnI-1lFHZR5mGHLHdRotg,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
69,yN5WcMeAsmghLXqYJdHa1g,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
70,x0YyS9aoyxadIm1UIgLYgg,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
71,Hzyiny1Qe9mROG5PnnoS4A,MbzgGsMQpGyVrUJXi_Jw0Q,2.0,Dawn Patrol
72,pBe6LKlrzTtDfdxKI4nZgA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
73,lYTeGjztKIUtUxh9dSIdcQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
74,0pneddxoqhj0h2Xovmo-Cg,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
75,TUN7ZU89pt9OOH2KV9oFdA,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
76,EGA8pmQywcuSCKkW4HJINg,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
77,C79f8DOqA1-X4p6YcqsC2w,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
78,wuDBZVFmTA67ESOQLBXyTQ,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
79,m8BPrTGDcYAwKo0qbQGtKQ,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
80,vdioUea83QYfcVpet3PELw,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
81,Sy2U1DIzlRWp2-xRwwxPNQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
82,HpYWW8eKrT2MWDJYLlFlAQ,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
83,8efFMEWV7ab2qP8vKcPZng,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
84,DMY7xxPAlXMHysVjyLqbOw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
85,XnD4uyhB0BUd_huZP3rkJw,MbzgGsMQpGyVrUJXi_Jw0Q,5.0,Dawn Patrol
86,_WIf0RVsrj18wSlRX9Mfdg,MbzgGsMQpGyVrUJXi_Jw0Q,4.0,Dawn Patrol
